,ISBN,store_name,gender_of_owner,2010_revenue_till_june,2011_revenue_till_june,2012_revenue_till_june,2013_revenue_till_june,2014_revenue_till_june,2015_revenue_till_june,2016_revenue_till_june,2017_revenue_till_june,2018_revenue_till_june,2019_revenue_till_june,2020_revenue_till_june,zip_codes
468,300071349-2,Hodkiewicz-Kulas,Female,143924,157946,170349,184147,195703,208548,226234,241121,259502,273354,161169,94519
469,656546408-1,Yundt-Bode,Male,176681,195239,213596,227372,241865,254407,271411,289669,301916,312814,167822,94305
470,256519516-8,Kreiger-Dooley,Female,185375,203030,219681,233523,251760,267277,283913,296742,311876,325718,213004,94806
471,839876500-3,Jacobs-Schowalter,Male,139439,154027,168037,183302,200227,220039,236337,247480,263573,279076,144734,94589
472,459240607-9,"Zulauf, Parker and Parker",Female,63899,72402,77881,84320,90337,100090,111160,122192,135002,146754,90543,94014
473,264457394-7,Ledner LLC,Male,132462,143045,157129,173701,188577,207461,219677,234149,254113,270985,154148,94129
474,557808144-4,"Schimmel, Gibson and Strosin",Male,76144,83989,91201,98752,106309,119866,134601,147552,160531,175369,78444,94105
475,349108564-0,"Kulas, Powlowski and Sauer",Female,192623,205698,220642,239698,255860,275539,286136,296385,312785,324167,222607,94619
476,049516684-7,"Stamm, Fay and Ferry",Female,84902,90377,96831,105339,118650,130605,141064,153621,169844,180759,114660,94530
477,948694748-1,"Walker, Ratke and White",Male,53582,63207,70177,77681,86870,92690,99010,104876,119566,132926,68400,94005
478,101022553-7,Medhurst-Strosin,Male,139371,153916,171755,182622,196509,209330,227855,244235,259798,272716,131860,94619
479,019340278-5,Wisozk LLC,Male,186247,205227,217535,231115,245105,256688,269980,286510,301641,316357,187168,94124
480,026452756-9,Bins-Daniel,Male,116658,131592,143434,156458,171166,186285,198244,217218,231839,244973,115615,94131
481,682195337-6,Donnelly LLC,Male,161896,175792,194370,208214,227941,244226,256935,275014,289937,303749,161970,94519
482,763815320-0,"Johnston, Strosin and Kozey",Female,76686,82410,88768,95504,100967,111386,125780,140684,151313,163205,73454,94619
483,988701576-8,"Windler, Kuhlman and Runte",Male,143707,155474,170157,187020,197606,211572,228485,239944,250946,263593,147798,94555
484,025091357-7,Powlowski LLC,Male,163454,177504,192662,205413,220822,237663,252797,266587,278141,295773,153182,94086
485,645365561-6,Bergnaum-Tillman,Female,56551,61914,70568,75726,81537,90925,97830,105961,119438,132075,88711,94512
486,403548455-5,Wiegand-Hermiston,Male,126370,138372,150733,165844,182121,199839,216632,227831,240514,252929,136034,94070
487,405950680-X,Boehm-Muller,Male,107924,121085,133138,145321,159287,176383,192717,212162,232004,243786,135186,94521
488,316271817-1,"Auer, Weimann and Bailey",Male,192790,207139,222851,238809,253483,265615,282736,299993,317325,336351,204770,94503
489,334359297-8,Hartmann-Langosh,Female,115529,127668,141682,156240,176025,188645,201894,220589,232964,252627,140937,94568
490,957848557-3,Sauer Inc,Male,154217,169491,180711,191128,204002,214644,232777,250098,263162,273583,156322,94605
491,025675640-6,Langosh LLC,Male,181923,197741,208056,227964,240767,257339,274797,294384,304529,316633,199468,94404
492,076512033-X,Cummings-Homenick,Female,151826,164791,175764,188564,206408,221353,239110,250637,263089,276300,150996,94801
493,355322935-7,Orn-White,Male,127634,142134,153857,164393,179770,198671,216921,231972,247595,264871,151993,94592
494,605114306-8,"Fay, Hansen and Torp",Male,161471,180368,198146,213640,227610,238082,255388,266340,286168,302153,168702,94040
495,614855127-6,"Zemlak, Powlowski and Sporer",Male,87277,96187,101979,112200,126477,136747,146972,158222,178078,191418,119052,94520
496,617365994-8,Goodwin-Robel,Male,77645,84059,90962,99252,107336,120756,132718,143059,155675,167609,96406,94538
497,085275052-8,Kunde Group,Male,116255,126918,141801,156284,171801,186539,196949,211031,224346,236108,99878,94703
498,028679144-7,"King, Russel and Quitzon",Female,130954,141010,154111,165268,183800,200168,215175,227201,244791,259108,129598,94706
499,122067047-2,Brekke-O'Connell,Male,170490,184024,200807,220469,239885,254152,267840,279459,296133,313799,205156,94130
500,450694865-3,Graham and Sons,Male,168039,185857,198090,211933,230895,248249,264422,281020,296989,315015,211896,94022
501,474712752-6,"Schultz, Powlowski and Kling",Male,142424,155507,168338,183074,196414,211117,223076,238986,250418,260804,144216,94133
502,933173498-0,"Volkman, Zieme and Conroy",Female,76159,85680,95630,104420,115233,129513,139989,154936,169353,180647,104612,94086
503,225976189-5,Steuber-Pfeffer,Male,129804,141770,156282,174374,192664,210604,229047,243144,254072,264200,146580,94513
504,588315181-7,Reichert-Olson,Male,135251,149311,160281,173681,191223,204593,216795,228623,243533,260305,152981,94954
505,316998252-4,"Quigley, Paucek and Casper",Male,77063,82238,89828,99019,108604,121454,131763,142761,157227,176417,99835,94303
506,328658340-5,Roob Inc,Male,127886,140804,154648,169651,181359,195367,209330,223980,238354,250720,142422,94938
507,047561819-X,Moen-Jacobson,Male,88103,93787,100899,114589,124802,137620,151636,167493,181288,197212,103980,94507
508,854120546-0,Quitzon-Brekke,Male,81308,91164,100745,114168,128624,141026,154145,173833,189588,204751,97568,94403
509,236432951-5,Kuhic-Veum,Female,94995,102088,116708,131321,143262,155748,172958,191012,205643,216048,71122,94129
510,366252974-2,McLaughlin-Von,Female,113618,124778,137004,147305,157305,177033,188228,198718,212275,228722,112317,94002
511,581308061-9,"Maggio, Lakin and Cole",Female,149643,160787,173251,184766,198450,217351,234332,251918,263549,281645,162611,94002
512,120541441-X,Collier LLC,Male,161147,175081,189097,205115,222718,235271,247368,263506,281145,298456,185614,94706
513,264419989-1,Halvorson-Langworth,Female,172973,192795,205291,221739,241199,252626,269799,283061,293192,305057,197370,94965
514,923989916-2,"Huel, Gorczany and Raynor",Female,149193,161273,171514,191118,209121,226372,241745,252059,268442,287891,145541,94128
515,856544722-7,Denesik-Walker,Male,77063,84463,90528,98975,104007,117440,129600,143335,155766,174266,110640,94525
516,508204373-0,Raynor-Corwin,Female,135433,147995,161086,175316,190508,205305,224607,243334,258527,278413,144728,94954
517,191162734-1,"MacGyver, Torphy and McGlynn",Female,133430,145629,157013,172136,190874,204731,216370,234990,250791,261087,137790,94122
518,292524626-5,"Simonis, VonRueden and Satterfield",Male,170137,180612,198120,210555,224135,237295,257142,272845,284513,298774,192756,94706
519,729856885-X,Gleichner-Upton,Female,85922,91833,97827,107508,118979,133282,143352,153517,168309,178348,115089,94520
520,549184703-8,"Wilkinson, Barton and Runolfsson",Male,131036,143317,155531,168534,179846,194479,211594,226636,244239,255411,125807,94533
521,461107402-1,Kunze-Parker,Female,104698,118923,129560,143081,154115,165900,185087,203924,216529,236484,116186,94618
522,209297632-X,"Friesen, Bashirian and Bruen",Male,114369,125978,137362,151906,166674,182167,192642,208361,220546,232692,104648,94611
523,620778409-X,"Lockman, Turner and Hagenes",Male,153507,163984,181610,198536,215279,227672,241635,251780,261887,272421,153287,94301
524,722530959-5,Dietrich-Heaney,Male,75225,84265,93410,99158,106223,120662,134429,145627,158722,173310,99762,94025
525,800201328-X,Ortiz and Sons,Female,184935,201655,221198,238942,250116,262055,273397,285477,295874,307194,180788,94565
526,193590719-0,"Corkery, Bahringer and Wilderman",Male,174558,192779,208913,225988,244146,258161,273620,292960,312643,323803,217068,94577
527,248515000-1,"Rogahn, Bergnaum and Herzog",Male,61239,71118,80165,89341,98879,105287,116093,126930,137837,152624,62851,94027
528,748416071-7,Wyman Group,Male,88193,96432,104073,116905,130075,141089,155138,170765,186167,200555,66020,94014
529,810977465-2,Farrell-Upton,Male,160418,174886,185997,197568,214300,225607,241007,252950,265283,279820,155548,94618
530,914327717-9,"Willms, Gerhold and Ullrich",Male,175289,195206,211757,225511,238152,252210,270443,286275,301388,319233,218723,94502
531,352314405-1,Ratke and Sons,Female,103290,115880,130791,141542,155388,166945,179795,192975,209182,219569,71510,94123
532,597603089-0,"Moen, Toy and Treutel",Male,55922,63195,72458,82163,87961,94127,99407,105309,117449,130871,80330,94133
533,832426971-1,Crist-Jaskolski,Female,179362,192317,208144,221135,234513,244796,255214,270115,282912,298022,179722,94571
534,815620480-8,"Keebler, Kohler and Greenfelder",Male,61172,69384,76683,85316,90361,97438,104646,114979,126817,140037,77975,94583
535,868880087-1,"Halvorson, Brown and Cummings",Male,172402,183213,199972,211281,224228,241875,258929,277901,297505,309262,160430,94965
536,274117387-7,Howell and Sons,Female,190107,202340,219130,234729,254340,265452,285076,300356,316298,333302,190790,94612
537,112541660-2,Parker-O'Hara,Male,115404,129319,141858,155544,169113,183754,201628,213171,231202,250839,125119,94521
538,957784392-1,"Mayert, Zieme and Parisian",Male,77129,84640,91081,99755,106166,118216,132663,144019,157772,176045,105890,94703
539,276318687-4,Beahan-Kerluke,Female,197665,214836,234274,249989,260402,274779,292166,303469,321089,333634,195617,94563
540,777636317-0,"Blick, Yundt and Grimes",Female,72956,78733,85523,92795,102480,115371,129728,141387,152806,169102,86883,94925
541,261707790-X,"Koch, Emard and Torphy",Male,116133,128469,139551,153529,165239,181549,193757,209173,226828,242129,133706,94963
542,648821035-1,"Bednar, Hills and Simonis",Male,75472,81154,86687,92656,98185,106113,118101,129821,143951,154382,56485,94533
543,285262613-6,"Cummerata, Walsh and Cassin",Female,119639,132236,143964,154717,165966,178358,194485,210296,222552,238445,130565,94518
544,597295538-5,"Mante, O'Keefe and Beier",Female,151921,169197,184700,195728,209094,219516,233707,247262,264885,277927,136275,94536
545,214346701-X,"Bartell, Donnelly and Hackett",Male,110074,123641,138139,150615,169180,181939,192830,203101,218083,230131,126777,94304
546,631752849-7,Bernier-Gutkowski,Male,126994,140580,151703,164729,176818,195736,212397,225242,242139,259244,136384,94904
547,583385455-5,Torp and Sons,Male,170611,187572,206872,220375,233891,244115,254796,271110,283127,297512,161887,94038
548,363618839-9,"Hermiston, Zemlak and Abernathy",Male,107161,122027,134031,144583,158487,173075,190532,205103,222928,239094,127441,94538
549,815831231-4,"Hudson, Reynolds and Roob",Female,137707,147940,160690,173643,186102,204083,219886,239403,253501,263719,158107,94613
550,434064359-9,"Reichel, Oberbrunner and Rowe",Female,60984,69561,76041,81350,90378,97535,104295,117327,129983,142190,101674,94403
551,649607906-4,"Bechtelar, Gaylord and Pollich",Female,175420,190002,201513,214199,232278,249743,262837,274139,291700,305586,199895,94606
552,759816199-2,Jacobs-Fisher,Male,121912,135507,148768,160385,177065,191358,208243,220069,231089,246383,142553,95134
553,995309220-6,"Johns, Corkery and Luettgen",Male,118518,129676,140030,152881,170900,185073,203300,220087,235304,251412,148962,94087
554,461219760-7,Hartmann Inc,Male,107229,120671,135530,148318,159099,178515,191760,202718,218295,232149,95949,94539
555,928147748-3,"Considine, Marquardt and Brakus",Female,58215,64950,74379,83137,91394,100955,111745,125734,140553,151369,66706,94545
556,145390062-4,Carroll Group,Female,91157,100078,114340,126201,136900,150484,163315,181128,196191,215880,95393,94044
557,002467071-5,"Cummerata, Kreiger and Kihn",Male,115843,130629,142853,153985,173099,183243,193794,206349,219755,231628,92757,94129
558,122337070-4,Runolfsdottir-Corkery,Male,106075,117033,129503,142132,154990,167606,186520,201133,216248,230478,105244,94109
559,524277674-9,Rogahn-Kuhlman,Female,191729,201847,215023,226576,246105,258098,275281,293622,311909,329748,188896,94963
560,353193644-1,Mueller LLC,Female,195305,207858,220550,232200,248553,262909,278476,293829,306649,318065,185754,94062
561,203832546-4,"Zulauf, Goyette and Kovacek",Male,92612,100368,115233,126292,140127,151083,161985,180393,191645,203685,62072,94901
562,374522439-6,Little and Sons,Female,85837,92426,99592,108521,122079,134712,147491,158847,170887,188112,110222,94583
563,032335096-8,"Schmitt, Bruen and Rolfson",Male,120073,133995,144254,154496,174365,188119,201119,218527,231346,249466,131463,94566
564,443182878-8,"West, Haley and Weber",Female,144855,156956,172135,186298,201554,217391,234969,246795,261939,279413,176689,94946
565,027327620-4,Wilderman and Sons,Male,107639,118745,131888,142046,153060,167880,180258,198652,211515,224140,88951,94035
566,986778642-4,Fadel and Sons,Female,83460,88669,94417,104350,116376,129827,143223,157861,171156,185776,103741,94121
567,784419320-4,Bruen-Hessel,Male,178421,192473,207877,221206,237083,254795,272101,287562,299345,312597,191174,94010
568,450004203-2,Schroeder-Bernhard,Male,188429,205558,216899,235181,250382,267992,281265,292526,306188,322071,211060,94610
569,806473744-3,"Brakus, Moore and Mosciski",Male,64290,73093,80993,90182,97568,104804,115331,127631,141411,154814,87462,94601
570,271051980-1,Schowalter Inc,Male,146880,160812,174884,186811,203781,214469,231769,246923,266807,276864,165165,94509
571,292936161-1,Predovic-Pagac,Male,61606,67924,74107,80491,89491,99073,106121,118519,132964,146971,90735,94501
572,556473462-9,"Ullrich, Mann and Schiller",Male,134616,148506,162822,174994,193556,210857,224440,237546,255560,270067,136594,95140
573,667261010-3,"Rodriguez, Larson and Sauer",Male,174553,188433,204851,219377,234037,250778,262358,279977,299576,314600,178838,94804
574,037466323-8,Daugherty and Sons,Male,174916,186399,204368,221923,239654,255226,274755,286007,304912,316914,184613,94973
575,806062019-3,Schaefer-Hane,Female,198490,213695,230151,245941,259571,276113,288194,299981,313584,327999,206039,94109
576,100386365-5,"Rogahn, Kertzmann and Roberts",Female,167394,184571,194871,204943,224619,241413,257138,268998,279168,297025,177220,94112
577,276179942-9,"Rice, Lowe and Roberts",Female,58825,68408,74222,81772,90041,97172,106688,119978,133086,143356,81005,94904
578,669793402-6,"Boyle, Wiza and Quitzon",Male,84310,93562,101578,112202,125252,139837,153443,164171,183973,200794,87152,94954
579,443255772-9,Cummings-Bashirian,Female,71509,78127,87936,94110,100659,112532,123164,135565,147441,162245,64272,94707
580,781357662-4,Lehner and Sons,Female,50849,57903,67418,74105,79523,85332,92266,99510,107943,120760,60422,94920
581,514018476-1,"Kessler, Padberg and Brakus",Female,191871,205734,219395,232529,244656,259110,273363,290056,300827,320654,219377,95140
582,608808903-2,Marquardt-Nolan,Male,163412,177178,190180,202580,214846,229115,242785,258597,272610,284047,163015,94114
583,052073576-5,Heaney-Roob,Male,87509,97457,106565,117822,130197,141747,155516,172915,187901,207145,71453,94946
584,075631287-6,"Simonis, Rice and Collins",Male,129856,142308,154227,166295,185477,199696,214409,232869,243303,260188,137058,94531
585,965991907-7,King Inc,Female,85100,93160,98415,106010,116594,127876,142559,152600,166644,180647,83264,94608
586,935351773-7,Wyman-Simonis,Female,152110,168974,184735,200239,212774,223072,241379,256941,273311,289098,151187,94530
587,277635743-5,"Metz, Homenick and Runolfsdottir",Male,175456,189954,204702,219809,236368,253816,270734,288407,300838,313824,203999,95002
588,066591945-X,"McClure, Hoeger and Volkman",Female,153054,171560,184302,194958,210765,225867,241416,261205,274755,285170,141265,94945
589,391890333-8,Kuhic-Gusikowski,Male,111814,126323,139576,153240,169074,186123,205696,217689,229106,242007,118852,94595
590,643346499-8,"Leannon, Hartmann and Stark",Female,195878,214308,233978,251031,264239,275898,289656,303790,317621,333150,218183,94706
591,915750624-8,"Wyman, Schuppe and Bartell",Female,92625,102095,114701,129418,142373,155452,173437,191620,211126,227251,125143,94585
592,395928727-5,"Emard, Mertz and Stanton",Female,178973,195066,214603,227218,245533,264280,281799,300182,313900,329749,222857,94401
593,007417431-2,"Nolan, Stiedemann and Block",Male,112850,125095,137713,151219,168761,183690,194346,206056,219056,237635,124368,94040
594,243402974-4,"Ondricka, Wisozk and Nikolaus",Female,189257,207149,225713,243039,256202,272022,283695,298081,316306,329180,218890,94973
595,932001090-0,"Altenwerth, Champlin and Quitzon",Female,144875,157218,171779,184927,201175,218820,230074,241424,252691,267488,156173,94965
596,751551623-2,Hills and Sons,Female,128069,141028,152391,170985,190171,201700,217623,230719,241885,255483,132721,94963
597,718356145-3,Altenwerth-Casper,Male,87156,95906,104338,118247,132840,146161,158156,170551,183019,194782,124861,94305
598,960684954-6,Konopelski LLC,Female,122946,134038,147454,160641,175633,195267,213321,232734,247796,262328,127597,94571
599,652895530-1,Weimann-Kiehn,Male,188267,204667,220480,237247,254282,270132,280673,292466,310762,326424,190418,94607
600,299725320-9,Spencer-Rowe,Female,106421,118809,131189,144435,155256,175126,194469,210669,230293,247656,137176,94110
601,491818445-6,"Wilkinson, Kerluke and Thiel",Male,146309,157291,176463,189726,209581,228806,244939,258179,272779,288379,165237,94131
602,158449019-5,Bauch-Bosco,Male,124418,138587,149409,162781,173860,190425,201766,216110,230249,250003,136284,94087
603,155225175-6,Schimmel LLC,Male,129600,139684,151531,163056,180803,199802,218788,235287,246080,265910,144739,94517
604,029015350-6,Treutel-Spencer,Male,144796,156326,167147,183457,198945,216913,228281,244554,256079,273824,172588,94586
605,284956703-5,Koelpin Inc,Female,150326,169496,182037,194558,212310,222858,233135,247045,262004,275127,152301,94403
606,816489575-X,"Yundt, Murray and Keeling",Male,64810,74664,79904,85388,92229,101854,114928,128198,138906,152080,76431,94122
607,753093117-2,Krajcik-Gaylord,Male,77349,85833,93480,101341,113271,124168,136390,150277,161109,176755,105030,94301
608,945983198-2,"Ruecker, Dare and Conn",Male,56374,64372,71671,79948,87038,96160,103673,116456,127812,141194,96115,94403
609,921110867-5,"Blick, Mohr and Oberbrunner",Male,160530,171906,182947,193588,205902,222045,234135,249495,265709,278943,141500,94107
610,451524321-7,Hermann-Larkin,Female,156557,168348,179681,192055,208629,226097,243730,261980,274758,284846,178377,94609
611,648757353-1,Jacobs-Koepp,Female,146918,158564,173083,188291,200225,219842,230029,245017,260987,279006,176439,94121
612,732034287-1,Borer-Fahey,Male,186710,202483,218142,234316,251987,270280,283953,296040,310568,325845,210482,94598
613,151644776-X,Wilkinson-Cummings,Female,73691,79409,88686,95339,103177,117547,132179,147110,157740,175133,112455,94954
614,714025356-0,"Renner, Goldner and Heaney",Male,57618,65086,70345,78249,86675,95309,102983,113678,125054,138040,71583,94108
615,815164285-8,Quitzon-Kub,Male,92433,99560,106788,120100,132287,146062,160691,175159,194652,211681,93020,94621
616,508630203-X,Wilderman-Schuster,Male,111763,125485,138104,149944,160525,171867,188473,201911,217961,233721,94304,94552
617,864013961-X,Tromp and Sons,Male,97941,106093,117589,130281,140947,151148,170979,190020,203325,216494,93718,94104
618,636095805-8,"Hilll, Stehr and Tremblay",Female,91648,97617,107346,118834,131940,144037,158511,169914,188088,201429,87312,94587
619,081120546-0,"Lebsack, Gorczany and Daniel",Male,133783,147608,162392,175514,194283,209500,226670,245541,262755,276203,154532,94603
620,323234591-3,McDermott-Gutmann,Female,142471,155544,172953,183514,201258,216900,227650,243823,260181,279157,144829,94709
621,925507779-1,McClure LLC,Female,186311,200660,214564,229185,239429,256378,272860,289156,307526,326685,196133,94085
622,615699342-8,Padberg-Fritsch,Male,129315,140805,155361,168111,184435,196050,206412,220929,236817,255377,122353,94530
623,119261125-X,Lueilwitz-Considine,Male,103664,116608,127261,142000,152439,162571,182088,197335,215583,228014,102797,94028
624,220315766-6,"Kshlerin, Fadel and Osinski",Female,189941,202090,220115,239231,253639,266001,285405,304864,316209,330768,228706,94949
625,409776567-1,VonRueden and Sons,Male,159897,171347,186650,196756,210286,220756,234948,253046,272902,286392,183313,94014
626,484407052-5,Zieme-Rempel,Male,113300,125418,135763,149300,160742,173751,188310,205458,215688,234817,113016,94588
627,960828366-3,"Nolan, Torp and Hayes",Male,111509,125153,135923,150408,166633,178080,192599,205087,224362,235831,103778,94704
628,182508241-3,"Boyer, Casper and Legros",Male,122530,133584,143950,157934,176452,187059,197788,210232,229252,240193,108812,94612
629,102120152-9,Graham LLC,Male,65390,74141,80498,85857,93469,100898,114438,128629,140340,152595,61122,94065
630,176642603-4,"Collier, Bernhard and Fisher",Male,149440,160535,170647,184890,195890,215392,227443,240672,255485,273276,161408,94114
631,219936527-1,Hudson Group,Male,114395,126492,140607,150717,169121,180930,194238,211094,230677,245511,125134,94523
632,025552470-6,"Fritsch, Herman and Goodwin",Female,128962,140294,155225,165932,177479,195360,206268,220688,230838,243751,100595,94572
633,931447896-3,Schulist-Runte,Female,67475,76104,81390,89912,99567,109046,120241,135213,149174,160471,64793,94108
634,267994977-3,Jerde Inc,Male,113038,127473,137595,151624,165458,183050,200074,217297,235193,247885,118487,94066
635,107072434-3,"Hahn, Kirlin and Kulas",Female,171199,183909,197888,209951,226066,242612,259164,276030,295328,306204,168075,94121
636,094644826-4,"Powlowski, Cruickshank and Feest",Male,86112,93014,100559,114564,125595,139928,151445,166768,179018,195884,133309,94564
637,265441442-6,Heller-Huel,Male,143892,157208,170922,184638,197649,207804,222694,237254,248196,266325,132780,94702
638,114165232-3,Hermiston-Stamm,Male,188028,206634,219115,234088,252734,267448,285355,300812,319116,335327,208934,94610
639,395751945-4,Kunde LLC,Male,77900,84275,91971,97717,105239,117519,131785,143950,156437,169066,97908,94566
640,369623895-3,Crona LLC,Female,183830,200444,212926,230838,248614,265270,276355,289712,304155,320465,194555,94506
641,701310455-8,Morar and Sons,Male,134087,147461,161536,172692,183025,202273,214510,227086,241920,255329,126994,94103
642,417770587-X,Metz-Murazik,Male,175606,187392,206525,223136,238676,250508,263214,279171,293276,310167,198566,95002
643,263677376-2,Leffler LLC,Male,70823,79850,88170,94589,102943,116042,126106,136588,149525,159715,82812,94805
644,005644811-2,Raynor LLC,Female,121371,135541,148802,160561,175181,192900,211617,224698,244050,258117,148242,94542
645,885346173-X,Abbott-Waelchi,Female,106182,117972,129039,140295,154098,172774,188098,201681,217201,227500,92579,94304
646,389043133-X,"Gusikowski, Legros and Kuhlman",Female,117944,129670,143522,157223,173728,192025,206048,217923,233140,249811,101777,94401
647,302943524-5,Funk-Auer,Female,150518,163972,173974,187572,198358,218125,237087,254891,274286,285720,183519,94025
648,910217333-6,"Beer, Littel and Schmeler",Male,141194,153550,172353,189270,203928,219795,238028,249755,262228,281349,179468,94963
649,623267468-5,Hansen Group,Male,64433,70051,77382,82460,87915,93133,98811,105011,119466,129760,66809,94065
650,580283325-4,Hammes LLC,Female,139901,154610,172239,183232,199834,217461,237284,252487,262995,278915,145466,94304
651,289669876-0,Walsh-Ondricka,Male,151331,161375,175737,191292,202904,215356,230398,247180,259244,276014,153995,94063
652,883115642-X,Powlowski-Casper,Female,130951,145177,156912,173035,184822,196280,214835,225739,238513,253552,112231,94556
653,776263879-2,Franecki and Sons,Female,103710,118291,133095,147060,157837,169805,189432,205516,224386,240786,106764,94002
654,199062468-5,Mills-Kassulke,Female,64590,73937,79647,89355,98476,106745,121368,132358,145601,155780,61034,94569
655,616243626-8,Ledner-Cruickshank,Female,140182,154064,172489,188555,200701,213198,227864,246412,256453,274243,136903,94618
656,774060753-3,Bechtelar Group,Female,157695,175503,187142,200225,219356,238197,252932,270389,287762,300095,191976,94609
657,045578612-7,Hamill Group,Female,103049,114044,126932,141380,152559,166675,181214,194352,211424,225496,77976,94124
658,973263401-4,Goodwin and Sons,Female,199038,215707,231688,241974,258586,270955,289077,307625,326082,337255,231033,94550
659,229540837-7,Kling-Emard,Male,147556,161327,180758,193692,213459,223616,237490,257406,271276,288584,150778,94706
660,625949538-2,Walker-Price,Male,86712,92832,100423,112909,124889,136284,148144,160876,180302,195261,115110,94565
661,144828744-8,Marvin and Sons,Male,62655,72018,80023,86342,91631,97900,105554,116179,128017,139883,85941,94970
662,663746590-9,Spencer Group,Male,105411,115608,128647,140980,151800,162283,177526,191894,208748,227516,118452,94134
663,309675330-X,Kris Group,Male,142605,156894,169533,184523,195357,212106,223736,235814,255277,270585,125569,94970
664,408786180-5,Anderson-Williamson,Male,103683,115718,128186,140290,153532,172017,183735,203266,222975,237021,134817,94040
665,680223661-3,Schimmel-Hauck,Female,122494,136476,147247,160377,172963,189163,206977,220599,237165,254201,137195,94127
666,227789274-2,"Friesen, Bernhard and Goodwin",Female,183812,203476,219192,233533,247612,262706,277285,294988,312858,328273,220533,94547
667,146170752-8,Little-Lueilwitz,Male,172593,184117,200153,217851,237415,254779,274586,292899,307391,325139,176104,94305
668,839241754-2,"Kunde, Ankunding and Emmerich",Male,181994,199799,211671,224077,243613,257076,275987,293898,307159,322262,218347,94945
669,525872317-8,Turcotte Group,Female,148730,159261,174415,193433,211721,223861,238135,254614,271845,291570,147899,94560
670,974570418-0,Hartmann and Sons,Male,165853,179123,189144,207568,218479,236611,247066,261451,275407,292987,170762,94117
671,559806129-5,Volkman Inc,Female,76212,83506,90345,95643,101972,116574,129550,142661,156192,175325,77670,94112
672,360335245-9,Deckow LLC,Female,52162,58052,63964,69779,74926,84587,94208,101264,115344,127272,74884,94521
673,950609804-2,Larkin-Breitenberg,Female,132189,144174,157734,169689,183265,203014,215937,235116,250729,268451,154517,94105
674,809682637-9,"Schroeder, Swift and Brekke",Male,153280,172933,184231,196102,207167,217195,235518,249599,267329,282752,170652,94525
675,223842101-7,Kshlerin-Cole,Male,138892,150895,166009,179241,197678,210981,227326,238864,257441,268987,146860,94134
676,406702618-8,"Schimmel, Beahan and Russel",Female,167768,177896,195281,214009,233723,244726,264239,282635,297509,315696,177468,94132
677,871468874-3,Brakus and Sons,Male,187092,200132,217942,232203,244317,258585,271231,291124,306009,322209,207248,95476
678,973334481-8,"Hermiston, Okuneva and Ryan",Male,199039,213988,233821,249804,263235,282872,301333,311647,329798,347503,243226,94109
679,255067045-0,"Cummerata, Koepp and Boehm",Female,65391,70801,78775,85271,92839,102630,115637,125810,139373,154306,69585,94609
680,981815429-0,Vandervort-Wyman,Female,151601,162997,175383,194375,207755,224717,240268,251998,267676,280193,137010,94579
681,029367982-7,Satterfield-Daniel,Male,51774,61098,70952,79680,88348,97765,103938,115073,125310,136749,75830,94552
682,465093875-9,Little LLC,Male,141640,154819,171697,182677,193169,213143,223583,242036,252247,265179,137712,94610
683,410686351-0,Wolff Inc,Male,106915,119208,131598,146386,159473,172056,187270,205173,221779,241480,94580,94523
684,357261671-9,"Bradtke, Goodwin and Eichmann",Male,198353,216362,235530,248721,260401,270714,283902,300682,320421,337224,213811,94506
685,865914770-7,Mohr Inc,Male,105331,115508,127151,137883,151513,170808,180862,200249,213934,232158,127385,94954
686,474600275-4,"Parisian, Runolfsdottir and Herzog",Male,88522,94028,102810,112895,124704,137818,152789,164431,180306,190839,93448,94102
687,980353200-6,Quigley Inc,Male,158351,171459,188365,206472,219795,235542,247923,259933,272395,289126,167126,94115
688,138001754-8,"Towne, Jerde and Schulist",Male,111996,124227,137617,151550,165002,180886,193644,204870,215364,230669,86637,94403
689,549186226-6,Emmerich Inc,Female,50993,57020,62952,72111,78020,85211,92896,102207,114325,124800,67733,94565
690,629847987-2,McCullough-Barton,Female,102595,112780,126762,139140,152323,165706,184975,201200,211396,223342,110886,94801
691,847641363-7,Little-Farrell,Male,195521,212227,224613,242449,261841,280021,298654,315522,332648,349254,238393,94507
692,975416929-2,"Mohr, Doyle and McCullough",Female,63066,69740,78956,84137,90915,97707,104927,117332,131969,144231,97593,94608
693,163576593-5,"Sporer, Gleichner and Gaylord",Female,59583,64841,74281,83372,91749,98531,106193,120948,135706,147645,82777,94804
694,875950133-2,"Skiles, Yost and Nikolaus",Male,61475,71385,78412,86987,95247,100507,115494,129599,139610,151312,82058,94087
695,005717626-4,Purdy Group,Female,103990,116176,130911,142615,155752,166782,178671,194364,209340,221694,99787,94518
696,987238280-8,Waters LLC,Male,112440,125511,138191,151439,167854,185507,202118,216128,232968,243062,139870,95134
697,713215946-1,Metz Group,Female,188283,207205,218662,236480,255553,268809,282323,296613,308886,322827,204495,94566
698,999226945-6,Mitchell LLC,Female,128320,140491,155428,170855,183517,194304,210570,221213,233274,252049,130825,94583
699,274693183-4,"Bosco, Bogisich and Oberbrunner",Female,186428,202469,220213,232793,250195,268182,282425,295806,313423,325543,212761,94303
700,679232636-4,Parisian and Sons,Female,119353,131147,145161,158996,172406,187221,204607,215564,228825,244561,98424,94510
701,769350208-4,"Koepp, Marks and Ondricka",Male,91343,100478,113375,125472,137933,149067,161983,175441,186293,198162,99988,94587
